word,count
prison,6
worryd,1
debts,3
unpityd,1
wretch,7
rotting,1
jail,1
bribe,12
presents,7
fail,8
send,21
prostituted,1
wives,23
bailxe2x80x94,1
highnessxe2x80x99,1
answer,9
suspicion,2
shalt,23
tail,19
admit,13
bishops,5
tower,10
caused,9
immediately,8
recommitted,1
bailable,1
bailiff,8
doubtful,12
bor,10
rowed,2
baillie,2
subordinate,3
officer,11
lausanne,1
canton,1
berne,2
governed,3
years,47
senate,2
business,32
execute,3
arrests,4
happeneth,1
undersheriffs,1
bailiffs,1
owner,2
incurred,1
forfeiture,2
cometh,3
process,5
runneth,3
titus,4
andronicus,4
hailiff,1
mistake,9
seized,7
debtor,2
evening,8
spunginghouse,1
bard,4
understeward,1
manor,1
baili,1
wick,1
pic,2
jurisdiction,4
franchise,1
exempted,1
riff,1
county,2
appointeth,1
walk,15
down,127
bailiwick,1
spenser,29
issued,3
writs,2
names,12
landowners,1
bailiwicks,1
hales,15
origin,12
mankind,27
bait,18
batan,1
baitzen,1
germj,1
meat,20
hook,6
tempt,9
fish,34
cunning,6
catch,10
saint,4
saints,9
dost,16
dangerous,6
temptation,2
goad,1
fin,9
loving,9
lets,11
revenged,1
appoint,2
meeting,7
comfort,6
sure,29
baited,2
delay,2
till,75
pawned,2
horses,24
mine,42
garter,3
soarry,2
ives,5
windsoar,4
fishes,7
feed,10
infoats,1
anglers,1
lait,2
hooks,7
improvxe2x80x99d,2
amxe2x80x99rous,2
newfound,1
shares,4
hearts,17
gay,33
road,7
rest,48
also,73
wait,10
t,96
oarcs,1
heaven,28
lorg,1
dot,3
ocean,9
waves,16
amooag,1
k,33
va,8
battre,3
attack,8
vio,2
lence,3
dogs,10
seeming,5
sorely,2
chaffed,1
band,29
chained,2
cruel,21
withstand,3
qgren,1
yield,17
malcolms,1
feet,55
rabbles,1
stop,25
refreshment,3
haps,3
properly,22
bate,16
abate,7
speed,11
desires,6
tyrannical,1
extorsion,1
delightfulness,1
baiting,4
journey,11
baits,4
noon,3
tho,10
archangel,2
pausd,1
par,78
london,9
whig,4
inn,3
26,8
hawk,8
clap,4
wings,30
flying,6
flutter,2
plumd,1
estridges,1
raited,1
eagles,2
bathd,4
glittering,5
coats,3
images,7
hood,6
unmand,1
cheeks,15
mantle,3
strange,11
grown,16
thinks,16
acted,5
simple,11
modesty,7
jul,5
haggard,2
keepers,2
watch,14
kites,3
